suite,seed,n_train,n_test,context_bins,model,brier,log_loss,accuracy,f1,auc,blocked_false_positive_rate,affordance_loss_rate,accessible_prediction_variance,ece,reliability_slope,mean_prediction,positive_rate,access_rate
support_burden,0,80,3000,4,conserved_quotient,0.03266718775273998,0.13021089997668983,0.9516666666666667,0.692144373673036,0.8735036348635564,0.0,0.0,9.244463733058732e-33,0.019875436507936512,0.8988317070529026,0.07061960317460318,0.069,0.088
support_burden,0,80,3000,4,object_only,0.07294174014293413,0.28592001798401123,0.931,0.0,0.5355625087563629,0.0,1.0,6.2592723192585165e-34,0.08244151453684925,0.03824668942536819,0.15144151453684923,0.069,0.088
support_burden,0,80,3000,4,access_only,0.03568328333333333,0.1360787521168085,0.9516666666666667,0.692144373673036,0.8659052738817368,0.0,0.0,0.0,0.011713333333333333,0.8875902156150749,0.06962,0.069,0.088
support_burden,0,80,3000,4,context_table,0.07728450389051097,0.3560635062432728,0.9023333333333333,0.07570977917981073,0.5175308872595568,0.034722222222222224,0.9261083743842364,0.01039631479698949,0.0948228280144242,0.01656274554526766,0.14184942801442416,0.069,0.088
support_burden,0,80,3000,8,conserved_quotient,0.03266718775273998,0.13021089997668983,0.9516666666666667,0.692144373673036,0.8735036348635564,0.0,0.0,9.244463733058732e-33,0.019875436507936512,0.8988317070529026,0.07061960317460318,0.069,0.088
support_burden,0,80,3000,8,object_only,0.07294174014293413,0.28592001798401123,0.931,0.0,0.5355625087563629,0.0,1.0,6.2592723192585165e-34,0.08244151453684925,0.03824668942536819,0.15144151453684923,0.069,0.088
support_burden,0,80,3000,8,access_only,0.03568328333333333,0.1360787521168085,0.9516666666666667,0.692144373673036,0.8659052738817368,0.0,0.0,0.0,0.011713333333333333,0.8875902156150749,0.06962,0.069,0.088
support_burden,0,80,3000,8,context_table,0.07346457416978772,0.3531088624310671,0.925,0.025974025974025976,0.5027596596736839,0.006944444444444444,0.9901477832512315,0.007343995140347281,0.08952580065359478,-0.06019427273973601,0.134773022875817,0.069,0.088
support_burden,0,80,3000,8,monolithic_logistic,0.053637267199118696,0.2152064326476606,0.93,0.5070422535211268,0.8708711046076199,0.019736842105263157,0.3251231527093596,0.07964728725740627,0.03608252740265068,0.6196456521055027,0.09061702175899196,0.069,0.088
support_burden,0,80,3000,12,conserved_quotient,0.03266718775273998,0.13021089997668983,0.9516666666666667,0.692144373673036,0.8735036348635564,0.0,0.0,9.244463733058732e-33,0.019875436507936512,0.8988317070529026,0.07061960317460318,0.069,0.088
support_burden,0,80,3000,12,object_only,0.07294174014293413,0.28592001798401123,0.931,0.0,0.5355625087563629,0.0,1.0,6.2592723192585165e-34,0.08244151453684925,0.03824668942536819,0.15144151453684923,0.069,0.088
support_burden,0,80,3000,12,access_only,0.03568328333333333,0.1360787521168085,0.9516666666666667,0.692144373673036,0.8659052738817368,0.0,0.0,0.0,0.011713333333333333,0.8875902156150749,0.06962,0.069,0.088
support_burden,0,80,3000,12,context_table,0.07312906914621287,0.33314225819559085,0.9283333333333333,0.0182648401826484,0.5375481491859393,0.0029239766081871343,0.9950738916256158,0.005588489543583288,0.08422184117647061,0.055563197156637684,0.13964037450980393,0.069,0.088
