suite,seed,changed_class,magnitude,class,is_changed,residual,accessible_support,residual_auc,detected_changed_class
residual_diagnostics,0,handle,0.0,handle,0,0.02413318856315594,27,,0
residual_diagnostics,0,handle,0.0,slot,0,0.11674839479996735,29,,0
residual_diagnostics,0,handle,0.0,button,0,0.010538785231440362,31,,0
residual_diagnostics,0,handle,0.0,flat,0,0.00841008648770078,24,,0
residual_diagnostics,0,handle,0.1,handle,1,0.08697792254795511,27,0.6666666666666666,0
residual_diagnostics,0,handle,0.1,slot,0,0.11674839479996735,29,0.6666666666666666,0
residual_diagnostics,0,handle,0.1,button,0,0.010538785231440362,31,0.6666666666666666,0
residual_diagnostics,0,handle,0.1,flat,0,0.00841008648770078,24,0.6666666666666666,0
residual_diagnostics,0,handle,0.2,handle,1,0.27216310773314034,27,1.0,1
residual_diagnostics,0,handle,0.2,slot,0,0.11674839479996735,29,1.0,1
residual_diagnostics,0,handle,0.2,button,0,0.010538785231440362,31,1.0,1
residual_diagnostics,0,handle,0.2,flat,0,0.00841008648770078,24,1.0,1
residual_diagnostics,0,handle,0.35,handle,1,0.3462371818072144,27,1.0,1
residual_diagnostics,0,handle,0.35,slot,0,0.11674839479996735,29,1.0,1
residual_diagnostics,0,handle,0.35,button,0,0.010538785231440362,31,1.0,1
residual_diagnostics,0,handle,0.35,flat,0,0.00841008648770078,24,1.0,1
residual_diagnostics,0,handle,0.55,handle,1,0.5684594040294366,27,1.0,1
residual_diagnostics,0,handle,0.55,slot,0,0.11674839479996735,29,1.0,1
residual_diagnostics,0,handle,0.55,button,0,0.010538785231440362,31,1.0,1
residual_diagnostics,0,handle,0.55,flat,0,0.00841008648770078,24,1.0,1
residual_diagnostics,0,slot,0.0,handle,0,0.1352442996742671,24,,0
residual_diagnostics,0,slot,0.0,slot,0,0.060830407847497714,37,,0
residual_diagnostics,0,slot,0.0,button,0,0.1036051353640931,26,,0
residual_diagnostics,0,slot,0.0,flat,0,0.03817199124960555,28,,0
