suite,mode,rate,seed,model,brier,log_loss,accuracy,f1,auc,blocked_false_positive_rate,affordance_loss_rate,accessible_prediction_variance,ece,reliability_slope,mean_prediction,positive_rate,access_rate
correspondence_stress,random_site,0.0,0,conserved_quotient,0.02824068039229698,0.12014879053897365,0.968125,0.7524271844660194,0.8690902979170069,0.0,0.0,9.244463733058732e-33,0.010397589101637107,1.013887260366883,0.05848832676767126,0.0659375,0.0803125
correspondence_stress,random_site,0.0,0,interaction_logistic,0.035576423439131234,0.1616535638736463,0.968125,0.7524271844660194,0.857280803705213,0.0,0.0,0.0023037806600585287,0.03893498449596947,0.8075864852699437,0.10474290805799803,0.0659375,0.0803125
correspondence_stress,random_site,0.02,0,conserved_quotient,0.028429516786893125,0.12059969512386669,0.9678125,0.7493917274939172,0.8691267665484343,0.0,0.009950248756218905,0.004051421695180748,0.009873570990630635,1.022812673526194,0.05796430865666479,0.0659375,0.0803125
correspondence_stress,random_site,0.05,0,conserved_quotient,0.029256917781376943,0.12264369475376276,0.9665625,0.7396593673965937,0.8686177913011215,0.0,0.01990049751243781,0.009580408356901013,0.00998278760977219,1.005678416920197,0.05852169481058355,0.0659375,0.0803125
correspondence_stress,random_site,0.1,0,conserved_quotient,0.030393710871015625,0.12522426086834887,0.964375,0.7219512195121951,0.8679581847500868,0.0,0.03482587064676617,0.01368606726245791,0.01043585285987324,1.0009071385006545,0.05822598947887221,0.0659375,0.0803125
correspondence_stress,random_site,0.1,0,interaction_logistic,0.0356115292437105,0.15835241718395696,0.9640625,0.7188264058679706,0.861668138625196,0.0,0.03980099502487562,0.03121603632357237,0.03620321158942091,0.818497479054014,0.10061608462928506,0.0659375,0.0803125
correspondence_stress,random_site,0.2,0,conserved_quotient,0.03163004674300675,0.12801009025029086,0.9615625,0.7021791767554479,0.8673429747938333,0.0,0.06965174129353234,0.02392398194871287,0.009763120943503898,0.9834234666222336,0.05912120135652016,0.0659375,0.0803125
correspondence_stress,random_site,0.3,0,conserved_quotient,0.0323143051271917,0.12947796064477124,0.9603125,0.6954436450839329,0.865587723707306,0.0,0.06965174129353234,0.022442183559287704,0.010954168220225664,0.9852680840177166,0.05908111149753658,0.0659375,0.0803125
correspondence_stress,random_site,0.3,0,interaction_logistic,0.03524499670443828,0.1465057391262263,0.9603125,0.6954436450839329,0.856408727736297,0.0,0.06965174129353234,0.04457038847384015,0.024094548338632903,0.8223714320201737,0.08883201366763921,0.0659375,0.0803125
correspondence_stress,handle_slot_swap,0.0,0,conserved_quotient,0.02824068039229698,0.12014879053897365,0.968125,0.7524271844660194,0.8690902979170069,0.0,0.0,9.244463733058732e-33,0.010397589101637107,1.013887260366883,0.05848832676767126,0.0659375,0.0803125
