,seed,seed,brier,brier,log_loss,log_loss,accuracy,accuracy,f1,f1,auc,auc,blocked_false_positive_rate,blocked_false_positive_rate,affordance_loss_rate,affordance_loss_rate,accessible_prediction_variance,accessible_prediction_variance
,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem
model,,,,,,,,,,,,,,,,,,
access_only,19.5,1.848422751068236,0.03444330894223872,0.0003526975592649009,0.13101781517690442,0.0014264704737366113,0.953171875,0.0006300427574394635,0.7072719635253721,0.0039655335468833436,0.8856428697185595,0.001997906596834917,0.0,0.0,0.0,0.0,1.9567448234974315e-32,3.848381767988296e-33
conserved_quotient,19.5,1.848422751068236,0.027644660277763262,0.0003879068228914198,0.11586173798483176,0.0015344581131031094,0.9679453125,0.0005088223440302698,0.766998762862127,0.004020969705345269,0.8943693174837841,0.0019608155080885026,0.0,0.0,0.0,0.0,2.3248381841184422e-32,2.7956015735032706e-33
context_table,19.5,1.848422751068236,0.09813348219970826,0.002086015125061932,0.5240142491111668,0.019614421655976887,0.8943125000000001,0.0034604276173432367,0.0984358263422274,0.007848579726820138,0.5250500249844718,0.005894756461083998,0.044347856827818846,0.004189848555910894,0.8962124646454146,0.011621334728585127,0.026391407439666847,0.0022591031721979917
monolithic_logistic,19.5,1.848422751068236,0.029462203793691983,0.0004213846306987919,0.12880178743413287,0.00178220828678999,0.96584375,0.0005960019709354778,0.7427553138190884,0.006386764250916124,0.895359537728846,0.0026442058090551173,0.0,0.0,0.06730670205015613,0.016408812318766085,0.004209892023588633,0.0003898278490284031
object_only,19.5,1.848422751068236,0.08359951602907603,0.0008230936818657684,0.3135620493075927,0.002245389090022473,0.9296953125,0.0007430978728389592,0.0,0.0,0.5924426963714065,0.0029766815100295357,0.0,0.0,1.0,0.0,2.0754904416310573e-33,2.8414530823841235e-34
