Simulation started.
seed=24 complete
seed=0 complete
seed=25 complete
seed=1 complete
seed=26 complete
seed=2 complete
seed=27 complete
seed=3 complete
seed=28 complete
seed=4 complete
seed=29 complete
seed=5 complete
seed=30 complete
seed=6 complete
seed=31 complete
seed=7 complete
seed=32 complete
seed=8 complete
seed=33 complete
seed=9 complete
seed=34 complete
seed=10 complete
seed=35 complete
seed=11 complete
seed=36 complete
seed=12 complete
seed=37 complete
seed=13 complete
seed=38 complete
seed=14 complete
seed=39 complete
seed=15 complete
seed=16 complete
seed=17 complete
seed=18 complete
seed=19 complete
seed=20 complete
seed=21 complete
seed=22 complete
seed=23 complete
seed=24 complete
seed=25 complete
seed=26 complete
seed=27 complete
seed=28 complete
seed=29 complete
seed=30 complete
seed=31 complete
seed=32 complete
seed=33 complete
seed=34 complete
seed=35 complete
seed=36 complete
seed=37 complete
seed=38 complete
seed=39 complete
