seed,changed_handle_residual,unchanged_mean_residual,changed_gt_unchanged
0,0.6501986819150998,0.06569477422287302,1.0
1,0.6870863970588235,0.1396212672152083,1.0
2,0.6728745395775388,0.1287159071467757,1.0
3,0.6879297516420361,0.021729776193493328,1.0
4,0.6551383399209486,0.05774468255758352,1.0
5,0.7226732633232823,0.1023924724334561,1.0
6,0.6987045100252647,0.049377441881033345,1.0
7,0.4948678127064032,0.09953843891596735,1.0
8,0.7434597295708407,0.15412755153732854,1.0
9,0.7292768959435626,0.046954899712610965,1.0
10,0.6859418496752243,0.10396254331961298,1.0
11,0.7870236222645364,0.0805009333232053,1.0
12,0.6546923079923092,0.02412251576982488,1.0
13,0.6942139572489766,0.05282352391406142,1.0
14,0.5566470762057985,0.03984153985722524,1.0
15,0.6623506657462515,0.06703481810642503,1.0
16,0.6664221413175387,0.0408036449627657,1.0
17,0.6593181728918738,0.04378897629748516,1.0
18,0.7708487084870849,0.07695558280177851,1.0
19,0.6793250752117169,0.0406702469022141,1.0
20,0.7597414088029539,0.08589614704778437,1.0
21,0.6464290534677901,0.056015620983391086,1.0
22,0.5790879442195231,0.0125077905421802,1.0
23,0.6681485826001956,0.09554908060606186,1.0
24,0.8089148599819331,0.06872515964073196,1.0
25,0.6917242890158072,0.029168843246964643,1.0
26,0.663407214254672,0.09616920062586089,1.0
27,0.7025982678214525,0.11092180233383753,1.0
28,0.6645783249556836,0.05203397060804569,1.0
29,0.7901614906832298,0.059893696869954056,1.0
30,0.6726222053808261,0.049047750860977984,1.0
31,0.6467201246602579,0.09662449563319066,1.0
32,0.6703290315079641,0.02431192098961495,1.0
33,0.7608343946852089,0.025552150124117323,1.0
34,0.7664035115309478,0.06992186053970952,1.0
35,0.7844537815126049,0.0991553868513048,1.0
36,0.853487460815047,0.04782007253699974,1.0
37,0.767203012666895,0.07376175880112888,1.0
38,0.7029308278235317,0.07108388674727288,1.0
39,0.6964654308124791,0.0757212356627561,1.0
